Id,SalePrice
2658,136329.9277587915
2718,176437.04215187684
2414,210321.82174166408
1989,124857.19319719082
625,166659.42349900844
333,95668.43224076179
1327,113019.34206461204
858,142896.91353279358
95,194851.52954354975
1568,156557.7744554153
2482,167964.62018424616
1364,130588.78026773129
2584,138158.06366890646
818,375702.5075317381
2673,145655.5925609297
2089,113746.42030503426
1297,152248.51856528444
790,122560.04089614302
2616,168601.8104015057
720,196014.25689255717
222,136658.56289304318
557,127047.85182240157
1148,200370.7767789812
2766,145147.41308461115
534,189455.68108913078
1452,111291.02506637934
630,136964.98120394727
2648,133806.51734428218
125,144436.9532481481
1904,73441.33293500263
1670,107544.03105434227
756,101783.0538667458
717,241991.73585921348
1032,153725.9041664005
852,209095.60066247827
1731,184814.7132313479
2639,105967.8119977488
2071,81092.0565834355
1267,128559.60791904491
1851,199038.90502746674
567,159869.07921957562
2439,210396.04026042117
1898,157176.96946944503
647,137878.317089936
2256,207468.60771706604
979,102325.56714375295
1444,224488.6051565846
2485,120507.46686946893
157,124377.94232998996
88,125408.13687170508
2003,106268.86454277692
186,242498.843324312
1425,250335.81338188468
2695,130938.87052231283
738,106413.40000771954
395,154210.80798303537
1353,172983.67538050478
1878,135224.02484069427
390,163174.1303190159
1456,238850.18996466856
1103,292700.5183280712
1387,126655.44925576718
2070,136600.76989824485
1199,168734.8772530441
2479,173465.7767422522
501,289580.2411529989
2362,94479.93664214149
1718,184419.5395498041
2188,93632.29749243255
1483,152642.01437875658
2557,93446.09548508689
437,354291.5869239423
2224,164964.04250674357
1628,206230.32739104453
397,136788.94646887123
587,187060.98351722525
971,130820.04800411299
2611,139382.46032670722
1887,93601.36274780643
2399,345530.1329651298
2148,202415.35495751895
304,129069.271419323
1997,127263.06668424462
2817,132063.60162134818
1431,201547.7957008106
427,362743.1840267703
263,122859.66925322128
598,166375.04920425772
2895,230029.65804483922
687,144365.12699253613
1822,134362.78097923
2191,97988.1113536175
179,128297.7086892036
1009,213958.52994518544
2010,124309.45972592558
1991,141126.7058642467
1411,142539.0389573021
1721,229125.5817041406
1144,198402.7087108119
593,232843.3826124123
575,280074.77435455454
1249,172027.5190442399
1604,121202.60667339065
1064,449429.5007792681
1923,137384.54400376196
1988,112176.79901078387
2325,166675.53472225936
114,207313.70873540113
2700,176693.07426292583
217,146445.38629346897
343,169315.79042142953
386,230685.67820603037
2005,98231.6974869351
2908,129488.22555380063
1814,222434.18731033368
2446,605416.7547966979
208,170018.4559391949
1679,122254.3255566315
822,340479.39674197056
6,165918.4699611154
1781,413041.8749454047
2397,264592.3491000646
2340,294413.3640400613
1618,160638.0642965527
2843,120421.99236998976
1061,378585.3977785278
2786,110997.92679868496
1935,135775.7506046853
1341,125753.91919636312
521,280790.0666877249
2136,131576.19623840562
996,179140.84464330162
227,123860.66308175342
135,153710.00177585054
1167,169327.73901071528
294,205019.01592264837
1776,203208.52393203587
540,187272.56190391813
1717,184417.94900658316
2303,126551.60758068495
116,183486.0231717633
127,135444.79133415516
1371,135935.0623731925
1014,141545.40998656806
1507,91796.81127339488
702,138725.56011534322
750,148643.08467807373
261,138410.49449750475
1559,72233.19902014542
577,208634.76553166518
2812,206840.61390835288
2080,145976.57850881148
1368,119493.08205997759
2376,116070.79219909833
659,120836.49500504776
1235,120539.55117448342
332,90015.07309218912
1917,145722.5161238725
2094,269086.4476066129
1460,273104.7740679305
1471,200752.25360239984
1509,116507.48333103694
1922,126355.78658505707
433,510129.8739901276
460,273857.8248642767
1116,240939.66668623296
1137,175889.0865042239
53,182130.549011739
2354,254508.72153190916
1475,201004.42005017964
1761,713985.3099599252
842,138732.93355244488
2739,134034.7799613198
2509,171728.78239156376
1007,206469.89541573412
2610,160768.243025272
1952,104095.94784844293
2719,165293.3614410747
2921,95829.92104522463
1966,131852.345767432
292,122971.24744250508
1204,183183.66182329034
1829,237625.65861829225
2419,190683.23523991398
391,163542.59633629682
798,120640.16959662421
481,201081.27014053956
193,200437.63608588744
555,122806.09009525452
899,74081.39316409263
2357,182597.2961907772
328,127746.67489128216
1356,129134.01102469151
1154,113828.6445773542
1730,172593.53980368236
2249,141937.2024730628
1119,269187.41243221593
2856,122132.47460352391
1394,130648.72226968005
2587,119995.78682936121
61,312793.59429129225
2661,191413.88744023835
2711,125675.48911758831
1147,180549.39394914443
757,140558.58734519396
2623,88646.01665767773
2378,148967.3709845084
1413,132080.38668576648
1722,215362.7970162115
1112,208113.8105805908
1623,182115.73931951178
1201,173936.16297144082
1513,116150.99747830736
957,574661.2277925068
1171,271405.030983423
1145,205328.4724748626
2726,205848.21308384088
703,140952.05458646227
760,96429.71538917547
1964,136500.88434161394
2512,196156.2763898006
159,140895.22798298098
1281,155539.24499384675
468,175429.67351704545
290,126946.05324469262
665,119420.56567420742
1463,272617.79202081345
1792,218925.6792559179
923,122359.41710799078
500,250600.64647195846
1408,136068.42510500195
331,95906.10677487763
170,111463.2167096852
2192,96410.8917431024
2571,349523.9121500489
2314,161956.72093901012
2647,103258.25196968549
422,435390.5933044439
2457,358235.0685715473
1838,203201.7146267452
2805,249490.15192327974
1645,173245.62707914796
1711,289025.0969442301
2825,250677.76700221226
322,340619.9695607093
2103,253680.07497812735
342,119427.1004559793
600,108138.36697335701
488,173530.718891176
1725,306325.75476136827
2246,251655.69120110775
2847,139611.99971133776
806,234134.0073899767
530,227700.12418535448
963,194240.66732877603
2678,93592.57158990814
171,91541.31174862616
2401,407801.9921832655
