Id,SalePrice
2658,152327.2245753305
2718,190271.2447092955
2414,225162.70512568264
1989,130644.76234894432
625,174010.1243410656
333,88159.07596257323
1327,96263.49111366022
858,147330.77388143103
95,216840.54242315318
1568,159950.4709313212
2482,187515.43477949355
1364,125137.93745093356
2584,150598.7651809026
818,296053.85610523965
2673,153045.76336719125
2089,87333.00330819946
1297,174082.6802895445
790,123846.12346331717
2616,177421.58173396246
720,228313.28122472775
222,136631.82521357836
557,130812.72565250436
1148,219585.34988153848
2766,152779.95899175137
534,205086.44513687422
1452,102919.19404357579
630,133427.5639793551
2648,155209.6112991767
125,158422.38086664752
1904,31940.110268424876
1670,102805.58753874543
756,106266.7679527417
717,265016.4393170356
1032,157052.38972097018
852,226108.6497596379
1731,191497.92565413745
2639,97224.65137677052
2071,48803.50059736136
1267,128435.84773676842
1851,215605.80638161092
567,181773.32662952936
2439,230816.0679099062
1898,162375.0359304917
647,149200.31909050158
2256,223824.660000509
979,84850.68928062601
1444,241431.35891563562
2485,113974.29713418573
157,112339.61024847702
88,123661.63660650345
2003,110307.9019164741
186,246456.44521663775
1425,257954.8162489779
2695,138484.827922775
738,104168.98821919435
395,156284.4268902582
1353,184414.53451652918
1878,138311.80829534068
390,168007.47386474977
1456,255945.4142345229
1103,289935.57303538226
1387,136146.90733287274
2070,132540.88699435233
1199,182091.61768461863
2479,200091.82431860862
501,287636.27455773944
2362,72605.04842800793
1718,200600.98823744524
2188,64571.82838715025
1483,162312.20609315764
2557,80835.17337389191
437,328086.51095160044
2224,184316.5856909901
1628,203759.11312326073
397,133334.11979892
587,196835.22250763274
971,117003.48843348218
2611,137158.23957941867
1887,70176.85192908347
2399,329331.1460744596
2148,218552.08693776536
304,136640.08318911155
1997,135419.61143244826
2817,138717.09067912662
1431,207004.05372240237
427,348882.99553287885
263,119218.40101936884
598,173725.99711605813
2895,239606.12867867068
687,151592.33301982947
1822,132883.16150733293
2191,101668.57187049126
179,116159.11130608158
1009,223504.69211991364
2010,118721.71439044649
1991,157670.79572692
1411,161545.2458394579
1721,238755.5702341447
